p,lam,n_optimizer_steps,seed_idx,energy,selected_theta_sh,oracle_id
3,2.0,300,0,-75.88522680548864,0.4095582119824881,c732a02c1736
3,2.0,300,1,-60.535735935588704,1.0028167121591849,c732a02c1736
3,2.0,300,2,-34.73502985615707,3.0493935194101733,c732a02c1736
3,2.0,300,3,-27.301248743462384,1.0028167121591849,c732a02c1736
3,2.0,300,4,-6.989941773404616,0.4095582119824881,c732a02c1736
3,5.0,300,0,-94.09234749065436,-0.451042084616362,c732a02c1736
3,5.0,300,1,-110.50892887318251,4.258933977105977,c732a02c1736
3,5.0,300,2,-229.93418471696606,-0.451042084616362,c732a02c1736
3,5.0,300,3,-220.60476504358365,-0.451042084616362,c732a02c1736
3,5.0,300,4,-192.2000918249105,-0.06034584865097942,c732a02c1736
3,6.0,300,0,-129.22112067457417,-0.06034584865097942,c732a02c1736
3,6.0,300,1,-189.13534791954262,3.0493935194101733,c732a02c1736
3,6.0,300,2,-257.7430371582209,-0.451042084616362,c732a02c1736
3,6.0,300,3,-165.67971224399076,3.0493935194101733,c732a02c1736
3,6.0,300,4,-75.2514840828253,3.3983336805071276,c732a02c1736
3,10.0,300,0,-134.2361414942389,3.0493935194101733,c732a02c1736
3,10.0,300,1,-212.00082769046097,3.5701239650772694,c732a02c1736
3,10.0,300,2,-73.69297186445175,3.78902991647251,c732a02c1736
3,10.0,300,3,-124.23755501523527,3.5701239650772694,c732a02c1736
3,10.0,300,4,-146.4732187498288,3.0493935194101733,c732a02c1736
3,20.0,300,0,-644.9331795183282,3.179427729111887,c732a02c1736
3,20.0,300,1,-519.7078884820322,0.4413689770882446,c732a02c1736
3,20.0,300,2,-404.66164245960493,1.0028167121591849,c732a02c1736
3,20.0,300,3,-835.5333767525925,3.0493935194101733,c732a02c1736
3,20.0,300,4,-329.138089267767,0.4095582119824881,c732a02c1736
1,6.0,100,0,-112.02090278676351,3.0493935194101733,c732a02c1736
1,6.0,100,1,-136.9678550373976,3.0493935194101733,c732a02c1736
1,6.0,100,2,-0.0325189322595989,-0.451042084616362,c732a02c1736
1,6.0,100,3,-113.47678577778476,1.0028167121591849,c732a02c1736
1,6.0,100,4,-0.31429637377318187,3.0493935194101733,c732a02c1736
1,6.0,500,0,-112.02090278676351,3.0493935194101733,c732a02c1736
1,6.0,500,1,-136.9678550373976,3.0493935194101733,c732a02c1736
1,6.0,500,2,-0.0325189322595989,-0.451042084616362,c732a02c1736
1,6.0,500,3,-117.43841257850116,1.0028167121591849,c732a02c1736
1,6.0,500,4,-0.31429637377318187,3.0493935194101733,c732a02c1736
2,6.0,100,0,-53.963860052347044,3.5701239650772694,c732a02c1736
2,6.0,100,1,-143.8492316281349,3.3983336805071276,c732a02c1736
2,6.0,100,2,-160.8142077354945,3.0493935194101733,c732a02c1736
2,6.0,100,3,-190.90138960048048,4.258933977105977,c732a02c1736
2,6.0,100,4,-256.67282171416514,3.0493935194101733,c732a02c1736
2,6.0,500,0,-53.963860052347044,3.5701239650772694,c732a02c1736
2,6.0,500,1,-143.8492316281349,3.3983336805071276,c732a02c1736
2,6.0,500,2,-160.8142077354945,3.0493935194101733,c732a02c1736
2,6.0,500,3,-250.8110332923854,4.258933977105977,c732a02c1736
2,6.0,500,4,-256.67282171416514,3.0493935194101733,c732a02c1736
3,6.0,100,0,-128.85169964521987,-0.06034584865097942,c732a02c1736
3,6.0,100,1,-169.83931862920429,3.0493935194101733,c732a02c1736
3,6.0,100,2,-246.93075406513879,3.0493935194101733,c732a02c1736
3,6.0,100,3,-156.6759162083131,3.0493935194101733,c732a02c1736
3,6.0,100,4,-75.2514840828253,3.3983336805071276,c732a02c1736
3,6.0,500,0,-129.22112067457417,-0.06034584865097942,c732a02c1736
3,6.0,500,1,-203.44526091683565,3.0493935194101733,c732a02c1736
3,6.0,500,2,-257.7430371582209,-0.451042084616362,c732a02c1736
3,6.0,500,3,-169.74104660535062,3.0493935194101733,c732a02c1736
3,6.0,500,4,-75.2514840828253,3.3983336805071276,c732a02c1736
4,6.0,300,0,-175.3620494838931,0.33193712496279254,c732a02c1736
4,6.0,300,1,1.6118344534149571,3.0493935194101733,c732a02c1736
4,6.0,300,2,-157.25628456744036,3.0493935194101733,c732a02c1736
4,6.0,300,3,-206.23026489789981,3.3983336805071276,c732a02c1736
4,6.0,300,4,-165.378159525872,3.0493935194101733,c732a02c1736
